"","from","to","num_pixels"
"1",7324,5324,869713
"2",7124,5124,126095
"3",4324,7324,123110
"4",7334,5324,102835
"5",4324,5324,69978
"6",5324,7324,52732
"7",5334,5324,51371
"8",5124,7124,49217
"9",4334,4324,34865
"10",4124,7124,32113
"11",5324,4324,26230
"12",4124,5124,16305
"13",7224,8224,16056
"14",5424,7424,13207
"15",5234,5224,11738
"16",5334,7324,10049
"17",5434,5424,7686
"18",4424,7424,7502
"19",4334,7324,7175
"20",7334,7324,6980
"21",7234,7224,5927
"22",2234,2224,5255
"23",5134,5124,5054
"24",7224,5224,4527
"25",7324,4324,4330
"26",2334,2324,4269
"27",7124,8124,3761
"28",4424,5424,3189
"29",7424,5424,2760
"30",8334,8324,2695
"31",4434,4424,2454
"32",8434,8424,2203
"33",5124,4124,2200
"34",5224,8224,1888
"35",8234,8224,1742
"36",5224,7224,1647
"37",4334,5324,1438
"38",5224,4224,1296
"39",7434,7424,979
"40",2434,2424,914
"41",7224,2224,892
"42",4234,4224,886
"43",8224,7224,871
"44",8224,5224,785
"45",7424,8424,676
"46",5124,8124,663
"47",4224,5224,650
"48",7124,4124,634
"49",8124,5124,520
"50",5224,2224,517
"51",8224,2224,483
"52",5134,4134,482
"53",5424,4424,422
"54",5124,2124,371
"55",9334,9324,364
"56",7124,2124,346
"57",3124,5124,333
"58",4224,7224,310
"59",8234,5224,282
"60",9234,9224,276
"61",5324,2324,263
"62",5334,4324,253
"63",4134,4124,247
"64",8424,5424,242
"65",7324,8324,236
"66",5324,8324,231
"67",8324,5324,221
"68",9224,3224,217
"69",4324,2324,206
"70",7224,3224,201
"71",8124,2124,197
"72",7434,8424,177
"73",5224,3224,157
"74",5424,10424,134
"75",5424,8424,133
"76",9124,10124,129
"77",7124,3124,127
"78",10234,10224,124
"79",3224,5224,120
"80",5124,10124,114
"81",5124,3124,110
"82",5424,2424,99
"83",7424,2424,92
"84",4124,3124,90
"85",9124,8124,87
"86",7124,10124,86
"87",7334,4324,86
"88",5434,7424,80
"89",3224,7224,75
"90",10424,9424,74
"91",7224,9224,72
"92",5224,10224,71
"93",3124,10124,68
"94",10124,7124,68
"95",3224,2224,66
"96",7134,7124,63
"97",10334,10324,63
"98",10424,7424,60
"99",5434,8424,59
"100",5124,9124,57
"101",7224,4224,56
